,codigo_ocorrencia2,aeronave_matricula,aeronave_operador_categoria,aeronave_tipo_veiculo,aeronave_fabricante,aeronave_modelo,aeronave_tipo_icao,aeronave_motor_tipo,aeronave_motor_quantidade,aeronave_pmd,aeronave_pmd_categoria,aeronave_assentos,aeronave_ano_fabricacao,aeronave_pais_fabricante,aeronave_pais_registro,aeronave_registro_categoria,aeronave_registro_segmento,aeronave_voo_origem,aeronave_voo_destino,aeronave_fase_operacao,aeronave_tipo_operacao,aeronave_nivel_dano,aeronave_fatalidades_total
699,44248,PTYMJ,not informed,HELICÓPTERO,BELL HELICOPTER,206B,B06,TURBOEIXO,MONOMOTOR,1451,1451,5.0,1998.0,BRASIL,BRASIL,HELICÓPTERO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,PRIVADA,DESTRUÍDA,2
700,44315,PPGBK,INSTRUÇÃO,AVIÃO,AERO BOERO,AB-115,AB11,PISTÃO,MONOMOTOR,770,770,2.0,1991.0,BRASIL,BRASIL,AVIÃO,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,INSTRUÇÃO,NENHUM,0
701,44316,PTHNA,not informed,HELICÓPTERO,HELIBRAS,AS 355 F2,AS55,TURBOEIXO,BIMOTOR,2540,2540,6.0,1988.0,BRASIL,BRASIL,HELICÓPTERO,TÁXI AÉREO,SURUCUCU,ATLAS BRASIL CANTANHEDE,DESCIDA,TÁXI AÉREO,DESTRUÍDA,3
702,44318,PRGOV,REGULAR,AVIÃO,BOEING COMPANY,737-76N,B737,JATO,BIMOTOR,62595,62595,153.0,1998.0,BRASIL,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,SUBIDA,REGULAR,NENHUM,0
703,44319,CSTOG,REGULAR,AVIÃO,AIRBUS INDUSTRIE,A330-223,A332,JATO,BIMOTOR,230000,230000,0.0,0.0,PORTUGAL,PORTUGAL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,REGULAR,NENHUM,0
704,44321,PTMFV,REGULAR,AVIÃO,AEROSPATIALE AND ALENIA,ATR-42-300,AT43,TURBOÉLICE,BIMOTOR,16700,16700,49.0,1987.0,BRASIL,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,ESTACIONAMENTO,REGULAR,LEVE,0
705,44325,PTVKA,TÁXI AÉREO,AVIÃO,EMBRAER,EMB-820C CARAJA,PAT4,TURBOÉLICE,BIMOTOR,3629,3629,7.0,1988.0,BRASIL,BRASIL,AVIÃO,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,TÁXI AÉREO,LEVE,0
706,44327,PRKAR,PARTICULAR,AVIÃO,CIRRUS DESIGN,SR20,SR20,PISTÃO,MONOMOTOR,1383,1383,4.0,2008.0,BRASIL,BRASIL,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,PRIVADA,NENHUM,0
707,44329,PTRUS,TÁXI AÉREO,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-810D,PA34,PISTÃO,BIMOTOR,2155,2155,6.0,1984.0,BRASIL,BRASIL,AVIÃO,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,DESCIDA,TÁXI AÉREO,LEVE,0
708,44336,PPGCT,not informed,AVIÃO,AERO BOERO,AB-115,AB11,PISTÃO,MONOMOTOR,770,770,2.0,1991.0,BRASIL,BRASIL,AVIÃO,INSTRUÇÃO,BLUMENAU,BLUMENAU,DECOLAGEM,INSTRUÇÃO,SUBSTANCIAL,0
709,44338,PRMEZ,TÁXI AÉREO,HELICÓPTERO,SIKORSKY AIRCRAFT,S-76C,S76,TURBOEIXO,BIMOTOR,5307,5307,14.0,2009.0,BRASIL,BRASIL,HELICÓPTERO,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,TÁXI AÉREO,NENHUM,0
710,44339,PRFMM,not informed,AVIÃO,AIR TRACTOR,AT-502B,AT5T,TURBOÉLICE,MONOMOTOR,3629,3629,1.0,2002.0,BRASIL,BRASIL,AVIÃO,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,AGRÍCOLA,SUBSTANCIAL,0
711,44340,PUZEZ,EXPERIMENTAL,ULTRALEVE,not informed,PELICAN 500BR,ULAC,PISTÃO,MONOMOTOR,480,480,2.0,2000.0,BRASIL,BRASIL,ULTRALEVE,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,EXPERIMENTAL,DESTRUÍDA,0
